Todos,Ativos,teste,Inativos
james;1146218927;jbutt@gmail.com;1;Ativos,Todos,Inativos;
josephine;8102929388;josephine_darakjy@darakjy.org;2;Todos,Ativos;
art;8566368749;art@venere.org;3;Todos,Ativos;
lenna;9073854412;lpaprocki@hotmail.com;4;Todos,Ativos;
donette;5135701893;donette.foller@cox.net;5;Todos,Ativos;
simona;4195032484;simona@morasca.com;6;Todos,Ativos;
mitsue;7735736914;mitsue_tollner@yahoo.com;7;Todos,Ativos;
leota;4087523500;leota@hotmail.com;8;Todos,Ativos;
sage;6054142147;sage_wieser@cox.net;9;Todos,Ativos;
kris;4106558723;kris@gmail.com;10;Todos,Ativos;
minna;2158741229;minna_amigon@yahoo.com;11;Todos,Ativos;
abel;6313353414;amaclead@gmail.com;12;Todos,Ativos;
kiley;3104985651;kiley.caldarera@aol.com;13;Todos,Ativos;
graciela;4407808425;gruta@cox.net;14;Todos,Ativos;
cammy;9565376195;calbares@gmail.com;15;Todos,Ativos;
mattie;6022774385;mattie@aol.com;16;Todos,Ativos;
meaghan;9313139635;meaghan@hotmail.com;17;Todos,Ativos;
gladys;4146619598;gladys.rim@rim.org;18;Todos,Ativos;
yuki;3132887937;yuki_whobrey@aol.com;19;Todos,Ativos;
ffletcher;8158282147;letcher.flosi@yahoo.com;20;Todos,Ativos;
bette;6105453615;bette_nicka@cox.net;21;Todos,Ativos;
veronika;4085401785;vinouye@aol.com;22;Todos,Ativos;
willard;9723039197;willard@hotmail.com;23;Todos,Ativos;
maryann;5189667987;mroyster@royster.com;24;Todos,Ativos;
alisha;7326583155;alisha@slusarski.com,ali@uol.com;25;Todos,Ativos,teste;berger
marcelo;11940004981;mar@uol.com,mar@gmail.com,mar@yahoo.com;1;Ativos,Todos,Inativos;urquiza
teste;;;1;Todos,Ativos;
