james;1146218927;jbutt@gmail.com;;;
josephine;8102929388;josephine_darakjy@darakjy.org;;;
art;8566368749;art@venere.org;;;
lenna;9073854412;lpaprocki@hotmail.com;;;
donette;5135701893;donette.foller@cox.net;;;
simona;4195032484;simona@morasca.com;;;
mitsue;7735736914;mitsue_tollner@yahoo.com;;;
leota;4087523500;leota@hotmail.com;;;
sage;6054142147;sage_wieser@cox.net;;;
kris;4106558723;kris@gmail.com;;;
minna;2158741229;minna_amigon@yahoo.com;;;
abel;6313353414;amaclead@gmail.com;;;
kiley;3104985651;kiley.caldarera@aol.com;;;
graciela;4407808425;gruta@cox.net;;;
cammy;9565376195;calbares@gmail.com;;;
mattie;6022774385;mattie@aol.com;;;
meaghan;9313139635;meaghan@hotmail.com;;;
gladys;4146619598;gladys.rim@rim.org;;;
yuki;3132887937;yuki_whobrey@aol.com;;;
fletcher;8158282147;fletcher.flosi@yahoo.com;;;
bette;6105453615;bette_nicka@cox.net;;;
veronika;4085401785;vinouye@aol.com;;;
willard;9723039197;willard@hotmail.com;;;
maryann;5189667987;mroyster@royster.com;;;
alisha;7326583154;7326583154;alisha@slusarski.com;alisha@slusarski.com;urquiza
